Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  26603,59;26600,14;2024-10-31
848069;abrdn SICAV I - Global Innovation Equity Fund A;    100,94;  100,93;2024-10-31
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    142,09;  142,07;2024-10-31
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     52,04;   52,03;2024-10-31
900894;abrdn SICAV I - Select Euro High Yield Bond A;    305,33;  305,29;2024-10-31
182584;Aktia Capital Placeringsfond B;     52,84;   52,83;2024-10-31
339473;Aktia Nordic Small Cap Placeringsfond B;     48,39;   48,38;2024-10-31
308908;Aktie-Ansvar Avkastningsfond A;    126,03;  126,03;2024-10-31
344739;Aktie-Ansvar Sverige A;    939,78;  939,78;2024-10-31
528894;Aktiespararna Direktavkastning;    212,15;  212,15;2024-10-31
290072;Aktiespararna Topp Sverige;     31,43;   31,43;2024-10-31
147348;Alfred Berg Aktiv R;   2854,87; 2853,70;2024-10-31
183178;Alfred Berg Norge C;   1651,49; 1650,81;2024-10-31
111518;Alfred Berg Obligasjon C;    116,77;  116,72;2024-10-30
933359;Allianz China A-shares AT;    110,89;  110,87;2024-10-31
753731;Allianz China Equity A;    579,07;  578,99;2024-10-31
717900;Allianz Euro High Yield Bond A;   1335,10; 1334,93;2024-10-31
538751;Allianz Europe Small Cap Equity AT;   3285,02; 3284,59;2024-10-31
273839;Allianz Global Equity Growth AT;    125,12;  125,10;2024-10-31
502922;Allianz Global Metals and Mining A;    714,83;  714,74;2024-10-31
878694;Allianz Global Water AT;   2100,81; 2100,54;2024-10-31
309666;Allianz Pet and Animal Wellbeing AT;     86,34;   86,33;2024-10-31
823096;AMF Aktiefond Asien Stilla Havet;    335,85;  335,85;2024-10-31
538462;AMF Aktiefond Europa;    353,25;  353,25;2024-10-31
908277;AMF Aktiefond Global;    392,09;  392,09;2024-10-31
520692;AMF Aktiefond Nordamerika;    708,93;  708,93;2024-10-31
269357;AMF Aktiefond Småbolag;   1281,06; 1281,06;2024-10-31
